time my_pulse
2.809807000000000035e-08 3.806850123146067943e+01
2.810807999999999833e-08 4.560092927828942067e+01
2.811808999999999963e-08 4.951246435117346323e+01
2.812809999999999761e-08 4.948825106723385403e+01
2.813810999999999890e-08 4.552606694745298910e+01
2.814812000000000019e-08 3.793727197237936366e+01
2.815812999999999818e-08 2.732277105484381252e+01
2.816813999999999947e-08 1.452580930609325094e+01
2.817814999999999745e-08 5.652773707223014421e-01
2.818815999999999874e-08 -1.344522235619822226e+01
2.819817000000000004e-08 -2.638613562905433696e+01
2.820817999999999802e-08 -3.722147397079487519e+01
2.821818999999999931e-08 -4.508192851671186929e+01
2.822819999999999730e-08 -4.933489862885976152e+01
2.823820999999999859e-08 -4.963577196700696703e+01
2.824821999999999988e-08 -4.595627049980195267e+01
2.825822999999999786e-08 -3.858749852568872996e+01
2.826823999999999915e-08 -2.811734988063577134e+01
2.827824999999999714e-08 -1.538399086453909348e+01
2.828825999999999843e-08 -1.409067587208801209e+00
2.829826999999999972e-08 1.268406488440689017e+01
2.830827999999999771e-08 2.576056351514869291e+01
2.831828999999999900e-08 3.676552939603591597e+01
2.832830000000000029e-08 4.480928112426826004e+01
2.833830999999999827e-08 4.923956306949197881e+01
2.834831999999999956e-08 4.969480587610340905e+01
2.835832999999999755e-08 4.613406122057614311e+01
2.836833999999999884e-08 3.884109958493923642e+01
2.837835000000000013e-08 2.840223966750468065e+01
2.838835999999999812e-08 1.565960381339163376e+01
2.839836999999999941e-08 1.643493455575610884e+00
2.840837999999999739e-08 -1.251071095649746390e+01
2.841838999999999868e-08 -2.565444028308849056e+01
2.842839999999999998e-08 -3.671918755308486482e+01
2.843840999999999796e-08 -4.480354520499806625e+01
2.844841999999999925e-08 -4.924692549302821476e+01
2.845842999999999723e-08 -4.968391246718603327e+01
2.846843999999999853e-08 -4.607474404399329870e+01
2.847844999999999982e-08 -3.870934787503863816e+01
2.848845999999999780e-08 -2.818450017359604587e+01
2.849846999999999909e-08 -1.535586854066597340e+01
2.850848000000000039e-08 -1.268759357451933800e+00
2.851848999999999837e-08 1.292685167044644956e+01
2.852849999999999966e-08 2.607011633041075171e+01
2.853850999999999764e-08 3.708429478228369192e+01
2.854851999999999894e-08 4.506514553857093119e+01
2.855853000000000023e-08 4.935545456079274373e+01
2.856853999999999821e-08 4.959953745693705685e+01
2.857854999999999950e-08 4.577316465508970822e+01
2.858855999999999749e-08 3.818635753272308619e+01
2.859856999999999878e-08 2.745872181047890948e+01
2.860858000000000007e-08 1.446924189278618655e+01
2.861858999999999805e-08 2.845706592905226096e-01
2.862859999999999935e-08 -1.392836127101140775e+01
2.863860999999999733e-08 -2.699827398774215581e+01
2.864861999999999862e-08 -3.784612514120223636e+01
2.865862999999999991e-08 -4.557438594078326588e+01
2.866863999999999790e-08 -4.954160489015325197e+01
2.867864999999999919e-08 -4.941604044506917859e+01
2.868865999999999717e-08 -4.520384693081302885e+01
