time my_pulse
9.686676999999998933e-08 -6.253306615412796976e-01
9.687677999999999724e-08 -9.115683077104498322e-01
9.688678999999999191e-08 -9.988523306901454513e-01
9.689679999999999982e-08 -8.679964710355335678e-01
9.690680999999999450e-08 -5.474581209799348480e-01
9.691681999999998917e-08 -1.071871272401080377e-01
9.692682999999999708e-08 3.566107052100627173e-01
9.693683999999999175e-08 7.424828590882694979e-01
9.694684999999999966e-08 9.659270727901388964e-01
9.695685999999999434e-08 9.779184911030702754e-01
9.696687000000000225e-08 7.757001648348799128e-01
9.697687999999999692e-08 4.034544842098274908e-01
9.698688999999999160e-08 -5.731485540580061322e-02
9.699689999999999951e-08 -5.056044408732834894e-01
9.700690999999999418e-08 -8.430446823747922425e-01
9.701692000000000209e-08 -9.954966323840261921e-01
9.702692999999999677e-08 -9.293681326739456905e-01
9.703693999999999144e-08 -6.590526282203269526e-01
9.704694999999999935e-08 -2.438353733505360110e-01
9.705695999999999402e-08 2.250768217138301441e-01
9.706697000000000193e-08 6.445718398770807767e-01
9.707697999999999661e-08 9.223058102519312573e-01
9.708698999999999128e-08 9.970483765873703330e-01
9.709699999999999919e-08 8.522133998949147360e-01
9.710700999999999387e-08 5.195781921666713377e-01
9.711702000000000178e-08 7.234902376426606552e-02
9.712702999999999645e-08 -3.909222399674356363e-01
9.713703999999999113e-08 -7.680430721768247704e-01
9.714704999999999903e-08 -9.757292346174968323e-01
9.715705999999999371e-08 -9.680209228776167629e-01
9.716707000000000162e-08 -7.464887384249645486e-01
9.717707999999999629e-08 -3.599554139405351516e-01
9.718708999999999097e-08 1.062291181164663478e-01
9.719709999999999888e-08 5.490111660963403750e-01
9.720710999999999355e-08 8.704088739155856347e-01
9.721712000000000146e-08 9.992076111958275719e-01
9.722712999999999614e-08 9.067684266471953691e-01
9.723713999999999081e-08 6.134340323109280790e-01
9.724714999999999872e-08 1.840911530050416411e-01
9.725715999999999339e-08 -2.861515610199105719e-01
9.726717000000000130e-08 -6.930157870538239395e-01
9.727717999999999598e-08 -9.461797237655906745e-01
9.728718999999999065e-08 -9.893490475157882269e-01
9.729719999999999856e-08 -8.128081695731349532e-01
9.730720999999999324e-08 -4.556460435913605167e-01
9.731722000000000115e-08 2.861709736908128743e-03
9.732722999999999582e-08 4.608227261758994220e-01
9.733723999999999050e-08 8.163616889111405817e-01
9.734724999999999841e-08 9.902923782987351764e-01
9.735725999999999308e-08 9.437803335146637274e-01
9.736727000000000099e-08 6.870506693352719241e-01
9.737727999999999566e-08 2.771803674191153366e-01
9.738728999999999034e-08 -1.945576216946405812e-01
